Fecha,Balota 1,Balota 2,Balota 3,Balota 4,Balota 5,SuperBalota
18/12/2024,9,10,15,26,28,2
21/12/2024,11,13,27,28,43,15
25/12/2024,4,19,28,32,39,13
28/12/2024,2,4,22,24,32,10
01/01/2025,11,16,18,37,40,16
04/01/2025,16,34,36,37,40,12
08/01/2025,1,5,28,36,38,5
11/01/2025,9,15,23,28,39,7
15/01/2025,13,22,25,32,35,10
18/01/2025,1,6,7,20,41,2
22/01/2025,4,15,23,27,34,13
25/01/2025,10,26,37,40,42,5
29/01/2025,7,12,33,36,39,10
01/02/2025,5,6,19,32,37,16
05/02/2025,4,7,16,18,43,2
08/02/2025,4,10,12,27,40,9
12/02/2025,4,5,7,25,32,4
15/02/2025,1,13,27,35,41,10
19/02/2025,6,8,32,35,39,3
22/02/2025,7,12,19,33,38,8
26/02/2025,2,8,19,21,43,9
01/03/2025,7,21,26,32,40,12
05/03/2025,8,14,19,37,43,6
08/03/2025,3,5,6,33,42,4
12/03/2025,17,20,26,27,42,1
15/03/2025,5,10,13,31,37,16
19/03/2025,9,15,18,28,42,11
22/03/2025,6,10,17,21,40,16
26/03/2025,7,13,35,37,43,2
29/03/2025,17,25,27,28,39,3
02/04/2025,9,13,20,23,24,10
05/04/2025,4,9,17,18,37,5
09/04/2025,12,25,28,37,42,9
12/04/2025,21,25,38,39,42,15
16/04/2025,18,32,34,36,38,13
19/04/2025,24,34,35,36,40,5
23/04/2025,2,9,22,23,25,5
26/04/2025,1,16,18,20,25,15
30/04/2025,6,23,32,34,40,14
03/05/2025,3,21,31,33,40,14
07/05/2025,8,14,30,36,42,1
10/05/2025,5,11,23,25,34,3
14/05/2025,18,20,21,26,36,7
17/05/2025,2,10,14,23,36,15
21/05/2025,3,11,20,35,40,16
24/05/2025,7,15,33,35,36,10
28/05/2025,1,11,22,28,40,1
31/05/2025,2,13,34,36,41,7
02/06/2025,15,23,26,31,39,9
04/06/2025,2,10,27,31,33,10
07/06/2025,3,26,27,29,30,15
09/06/2025,10,28,31,32,42,10
11/06/2025,11,21,23,30,34,5
14/06/2025,8,9,21,27,33,2
16/06/2025,4,8,10,30,40,10
18/06/2025,2,6,7,13,18,14
21/06/2025,5,24,26,30,43,4
23/06/2025,9,17,25,42,43,3
25/06/2025,4,11,12,14,21,12
28/06/2025,10,13,18,34,40,12
30/06/2025,3,4,8,11,17,14
02/07/2025,5,10,12,24,29,13
05/07/2025,17,26,29,32,34,2
